nom_un,id_famille_noeud_telecom_fk,id_type_noeud_telecom_fk,id_sous_type_noeud_telecom_fk,id_disponibilite_fk,id_statut_fk,id_etat_fk,id_param_etat_objet_fk,id_type_pose_fk,id_reference_noeud_telecom_fk,geometry,id_type_propriete_fk,Unnamed: 12,commentaire
Adam 23,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 34
Adam 24,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 35
Adam 25,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 36
Adam 26,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 37
Adam 27,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 38
Adam 28,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 39
Adam 29,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 40
Adam 30,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 41
Adam 31,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 42
Adam 32,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 43
Adam 33,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 44
Adam 34,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 45
Adam 35,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 46
Adam 36,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 47
Adam 37,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 48
Adam 38,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 49
Adam 39,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 50
Adam 40,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 51
Adam 41,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 52
Adam 42,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 53
Adam 43,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 54
Adam 44,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 55
Adam 45,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 56
Adam 46,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 57
Adam 47,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 58
Adam 48,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 59
Adam 49,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 60
Adam 50,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 61
Adam 51,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 62
Adam 52,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 63
Adam 53,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 64
Adam 54,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 65
Adam 55,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 66
Adam 56,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 67
Adam 57,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 68
Adam 58,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 69
Adam 59,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 70
Adam 60,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 71
Adam 61,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 72
Adam 62,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 73
Adam 63,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 74
Adam 64,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 75
Adam 65,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 76
Adam 66,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 77
Adam 67,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 78
Adam 68,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 79
Adam 69,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 80
Adam 70,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 81
Adam 71,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 82
Adam 72,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 83
Adam 73,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 84
Adam 74,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 85
Adam 75,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 86
Adam 76,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 87
Adam 77,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 88
Adam 78,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 89
Adam 79,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 90
Adam 80,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 91
Adam 81,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 92
Adam 82,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 93
Adam 83,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 94
Adam 84,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 95
Adam 85,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 96
Adam 86,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 97
Adam 87,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 98
Adam 88,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 99
Adam 89,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 100
Adam 90,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 101
Adam 91,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 102
Adam 92,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 103
Adam 93,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 104
Adam 94,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 105
Adam 95,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 106
Adam 96,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 107
Adam 97,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 108
Adam 98,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 109
Adam 99,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 110
Adam 100,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 111
Adam 101,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 112
Adam 102,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 113
Adam 103,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 114
Adam 104,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 115
Adam 105,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 116
Adam 106,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 117
Adam 107,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 118
Adam 108,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 119
Adam 109,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 120
Adam 110,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 121
Adam 111,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 122
Adam 112,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 123
Adam 113,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 124
Adam 114,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 125
Adam 115,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 126
Adam 116,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 127
Adam 117,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 128
Adam 118,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 129
Adam 119,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 130
Adam 120,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 131
Adam 121,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 132
Adam 122,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 133
Adam 123,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 134
Adam 124,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 135
Adam 125,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 136
Adam 126,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 137
Adam 127,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 138
Adam 128,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 139
Adam 129,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 140
Adam 130,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 141
Adam 131,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 142
Adam 132,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 143
Adam 133,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 144
Adam 134,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 145
Adam 135,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 146
Adam 136,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 147
Adam 137,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 148
Adam 138,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 149
Adam 139,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 150
Adam 140,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 151
Adam 141,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 152
Adam 142,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 153
Adam 143,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 154
Adam 144,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 155
Adam 145,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 156
Adam 146,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 157
Adam 147,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 158
Adam 148,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 159
Adam 149,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 160
Adam 150,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 161
Adam 151,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 162
Adam 152,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 163
Adam 153,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 164
Adam 154,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 165
Adam 155,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 166
Adam 156,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 167
Adam 157,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 168
Adam 158,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 169
Adam 159,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 170
Adam 160,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 171
Adam 161,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 172
Adam 162,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 173
Adam 163,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 174
Adam 164,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 175
Adam 165,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 176
Adam 166,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 177
Adam 167,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 178
Adam 168,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 179
Adam 169,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 180
Adam 170,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 181
Adam 171,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 182
Adam 172,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 183
Adam 173,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 184
Adam 174,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 185
Adam 175,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 186
Adam 176,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 187
Adam 177,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 188
Adam 178,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 189
Adam 179,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 190
Adam 180,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 191
Adam 181,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 192
Adam 182,11.0,92.0,228.0,3.0,2.0,16.0,5.0,4.0,33.0,POINT (311429.557710459 735278.526838988),1.0,,commentaire 193
